facility_name,state,industry_segment,reporting_year,gas_type,co2e_emissions_mt,production_boe
Gulf Coast LNG Terminal,LA,Transmission,2019,CH4,25036.5,2941537.0
Gulf Coast LNG Terminal,LA,Transmission,2019,N2O,1788.3,1527593.0
Gulf Coast LNG Terminal,LA,Transmission,2020,CO2,17479.0,1362678.0
Gulf Coast LNG Terminal,LA,Transmission,2020,CH4,13347.6,2085878.0
Gulf Coast LNG Terminal,LA,Transmission,2020,N2O,953.4,2201764.0
Gulf Coast LNG Terminal,LA,Transmission,2021,CO2,20068.7,1619458.0
Gulf Coast LNG Terminal,LA,Transmission,2021,CH4,15325.2,1882233.0
Gulf Coast LNG Terminal,LA,Transmission,2021,N2O,1094.7,1981742.0
Gulf Coast LNG Terminal,LA,Transmission,2022,CO2,18904.3,1424136.0
Gulf Coast LNG Terminal,LA,Transmission,2022,CH4,14436.0,1105400.0
Gulf Coast LNG Terminal,LA,Transmission,2022,N2O,1031.1,2507849.0
Gulf Coast LNG Terminal,LA,Transmission,2023,CO2,21219.8,2958558.0
Gulf Coast LNG Terminal,LA,Transmission,2023,CH4,16204.2,1497061.0
Gulf Coast LNG Terminal,LA,Transmission,2023,N2O,1157.4,2541080.0
San Juan Basin Field Ops,NM,Onshore Production,2019,CO2,42794.5,2645897.0
San Juan Basin Field Ops,NM,Onshore Production,2019,CH4,32679.5,1314897.0
San Juan Basin Field Ops,NM,Onshore Production,2019,N2O,2334.2,1050603.0
San Juan Basin Field Ops,NM,Onshore Production,2020,CO2,41874.5,2523753.0
San Juan Basin Field Ops,NM,Onshore Production,2020,CH4,31976.9,1371665.0
San Juan Basin Field Ops,NM,Onshore Production,2020,N2O,2284.1,740441.0
San Juan Basin Field Ops,NM,Onshore Production,2021,CO2,42651.9,1493930.0
San Juan Basin Field Ops,NM,Onshore Production,2021,CH4,32570.5,1794378.0
San Juan Basin Field Ops,NM,Onshore Production,2021,N2O,2326.5,2594275.0
San Juan Basin Field Ops,NM,Onshore Production,2022,CO2,39586.5,2338040.0
San Juan Basin Field Ops,NM,Onshore Production,2022,CH4,30229.7,1022679.0
San Juan Basin Field Ops,NM,Onshore Production,2022,N2O,2159.3,1853620.0
San Juan Basin Field Ops,NM,Onshore Production,2023,CO2,38771.5,1071375.0
San Juan Basin Field Ops,NM,Onshore Production,2023,CH4,29607.3,937387.0
San Juan Basin Field Ops,NM,Onshore Production,2023,N2O,2114.8,2955421.0
Uinta Basin Processing Hub,UT,Natural Gas Processing,2019,CO2,32312.9,1895734.0
Uinta Basin Processing Hub,UT,Natural Gas Processing,2019,CH4,24675.3,2706591.0
Uinta Basin Processing Hub,UT,Natural Gas Processing,2019,N2O,1762.5,971768.0
Uinta Basin Processing Hub,UT,Natural Gas Processing,2020,CO2,28094.0,2250895.0
Uinta Basin Processing Hub,UT,Natural Gas Processing,2020,CH4,21453.6,2616653.0
Uinta Basin Processing Hub,UT,Natural Gas Processing,2020,N2O,1532.4,2640811.0
Uinta Basin Processing Hub,UT,Natural Gas Processing,2021,CO2,28669.4,2719425.0
Uinta Basin Processing Hub,UT,Natural Gas Processing,2021,CH4,21893.0,2627321.0
Uinta Basin Processing Hub,UT,Natural Gas Processing,2021,N2O,1563.8,2839087.0
Uinta Basin Processing Hub,UT,Natural Gas Processing,2022,CO2,30720.7,2172471.0
Uinta Basin Processing Hub,UT,Natural Gas Processing,2022,CH4,23459.5,1951717.0
Uinta Basin Processing Hub,UT,Natural Gas Processing,2022,N2O,1675.7,1430707.0
Uinta Basin Processing Hub,UT,Natural Gas Processing,2023,CO2,31441.5,2934160.0
Uinta Basin Processing Hub,UT,Natural Gas Processing,2023,CH4,24009.9,1209802.0
Uinta Basin Processing Hub,UT,Natural Gas Processing,2023,N2O,1715.0,1263410.0
Haynesville Compressor Sta.,LA,Transmission,2019,CO2,26448.5,545188.0
Haynesville Compressor Sta.,LA,Transmission,2019,CH4,20197.0,1734734.0
Haynesville Compressor Sta.,LA,Transmission,2019,N2O,1442.6,947057.0
Haynesville Compressor Sta.,LA,Transmission,2020,CO2,28248.3,2360426.0
Haynesville Compressor Sta.,LA,Transmission,2020,CH4,21571.5,2302350.0
Haynesville Compressor Sta.,LA,Transmission,2020,N2O,1540.8,1270152.0
Haynesville Compressor Sta.,LA,Transmission,2021,CO2,30038.2,1772035.0
Haynesville Compressor Sta.,LA,Transmission,2021,CH4,22938.3,2090832.0
Haynesville Compressor Sta.,LA,Transmission,2021,N2O,1638.4,1126155.0
Haynesville Compressor Sta.,LA,Transmission,2022,CO2,31115.5,2947232.0
Haynesville Compressor Sta.,LA,Transmission,2022,CH4,23760.9,1716855.0
Haynesville Compressor Sta.,LA,Transmission,2022,N2O,1697.2,2765247.0
Haynesville Compressor Sta.,LA,Transmission,2023,CO2,30956.3,1375196.0
Haynesville Compressor Sta.,LA,Transmission,2023,CH4,23639.4,2112758.0
Haynesville Compressor Sta.,LA,Transmission,2023,N2O,1688.5,2172310.0
Powder River Basin Site 4,WY,Onshore Production,2019,CO2,44529.1,2421385.0
Powder River Basin Site 4,WY,Onshore Production,2019,CH4,34004.0,609009.0
Powder River Basin Site 4,WY,Onshore Production,2019,N2O,2428.9,2986376.0
Powder River Basin Site 4,WY,Onshore Production,2020,CO2,43158.8,1198901.0
Powder River Basin Site 4,WY,Onshore Production,2020,CH4,32957.6,2708735.0
Powder River Basin Site 4,WY,Onshore Production,2020,N2O,2354.1,2369297.0
Powder River Basin Site 4,WY,Onshore Production,2021,CO2,46839.6,1326876.0
Powder River Basin Site 4,WY,Onshore Production,2021,CH4,35768.4,1881912.0
Powder River Basin Site 4,WY,Onshore Production,2021,N2O,2554.9,1930731.0
Powder River Basin Site 4,WY,Onshore Production,2022,CO2,46562.1,688366.0
Powder River Basin Site 4,WY,Onshore Production,2022,CH4,35556.5,1264243.0
Powder River Basin Site 4,WY,Onshore Production,2022,N2O,2539.8,977278.0
Powder River Basin Site 4,WY,Onshore Production,2023,CO2,40073.7,1713200.0
Powder River Basin Site 4,WY,Onshore Production,2023,CH4,30601.7,1431717.0
Powder River Basin Site 4,WY,Onshore Production,2023,N2O,2185.8,1486729.0
Fayetteville Shale Facility,AR,Gathering and Boosting,2019,CO2,44064.6,2975135.0
Fayetteville Shale Facility,AR,Gathering and Boosting,2019,CH4,33649.3,850210.0
Fayetteville Shale Facility,AR,Gathering and Boosting,2019,N2O,2403.5,1795824.0
Fayetteville Shale Facility,AR,Gathering and Boosting,2020,CO2,82132.2,2351922.0
Fayetteville Shale Facility,AR,Gathering and Boosting,2020,CH4,62719.1,2242539.0
Fayetteville Shale Facility,AR,Gathering and Boosting,2020,N2O,4479.9,2256210.0
Fayetteville Shale Facility,AR,Gathering and Boosting,2021,CO2,51403.7,1233980.0
Fayetteville Shale Facility,AR,Gathering and Boosting,2021,CH4,39253.7,2523403.0
Fayetteville Shale Facility,AR,Gathering and Boosting,2021,N2O,2803.8,2525283.0
Fayetteville Shale Facility,AR,Gathering and Boosting,2022,CO2,62910.2,2783101.0
Fayetteville Shale Facility,AR,Gathering and Boosting,2022,CH4,48040.5,1778356.0
Fayetteville Shale Facility,AR,Gathering and Boosting,2022,N2O,3431.5,1753791.0
Fayetteville Shale Facility,AR,Gathering and Boosting,2023,CO2,68817.6,2124910.0
Fayetteville Shale Facility,AR,Gathering and Boosting,2023,CH4,52551.6,2254917.0
Fayetteville Shale Facility,AR,Gathering and Boosting,2023,N2O,3753.7,2489482.0
